time,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12
0.6,0.0684483,0.108253,0.318448,0.108253,0.568448,0.108253,0.193448,0.32476,0.443448,0.32476,0.693448,0.32476,0.0684483,0.541266,0.318448,0.541266,0.568448,0.541266,0.193448,0.757772,0.443448,0.757772,0.693448,0.757772
0.601,0.0684664,0.108253,0.318466,0.108253,0.568466,0.108253,0.193466,0.32476,0.443466,0.32476,0.693466,0.32476,0.0684664,0.541266,0.318466,0.541266,0.568466,0.541266,0.193466,0.757772,0.443466,0.757772,0.693466,0.757772
0.602,0.0684844,0.108253,0.318484,0.108253,0.568485,0.108253,0.193484,0.324759,0.443485,0.324759,0.693485,0.324759,0.0684844,0.541266,0.318484,0.541266,0.568485,0.541266,0.193484,0.757772,0.443485,0.757772,0.693485,0.757772
0.603,0.0685025,0.108253,0.318502,0.108253,0.568503,0.108253,0.193502,0.324759,0.443503,0.324759,0.693503,0.324759,0.0685025,0.541266,0.318502,0.541266,0.568503,0.541266,0.193502,0.757772,0.443503,0.757772,0.693503,0.757772
0.604,0.0685207,0.108253,0.318521,0.108253,0.568521,0.108253,0.193521,0.32476,0.443521,0.32476,0.693521,0.32476,0.0685207,0.541266,0.318521,0.541266,0.568521,0.541266,0.193521,0.757772,0.443521,0.757772,0.693521,0.757772
0.605,0.0685389,0.108253,0.318539,0.108253,0.568539,0.108253,0.193539,0.32476,0.443539,0.32476,0.693539,0.32476,0.0685388,0.541266,0.318539,0.541266,0.568539,0.541266,0.193539,0.757772,0.443539,0.757772,0.693539,0.757772
0.606,0.0685569,0.108253,0.318557,0.108253,0.568557,0.108253,0.193557,0.324759,0.443557,0.324759,0.693557,0.324759,0.0685569,0.541266,0.318557,0.541266,0.568557,0.541266,0.193557,0.757772,0.443557,0.757772,0.693557,0.757772
0.607,0.0685751,0.108253,0.318575,0.108253,0.568575,0.108253,0.193575,0.324759,0.443575,0.324759,0.693575,0.324759,0.0685751,0.541266,0.318575,0.541266,0.568575,0.541266,0.193575,0.757772,0.443575,0.757772,0.693575,0.757772
0.608,0.0685934,0.108253,0.318593,0.108253,0.568593,0.108253,0.193593,0.32476,0.443593,0.32476,0.693593,0.32476,0.0685934,0.541266,0.318593,0.541266,0.568593,0.541266,0.193593,0.757772,0.443593,0.757772,0.693593,0.757772
0.609,0.0686117,0.108253,0.318612,0.108253,0.568612,0.108253,0.193612,0.32476,0.443612,0.32476,0.693612,0.32476,0.0686117,0.541266,0.318612,0.541266,0.568612,0.541266,0.193612,0.757772,0.443612,0.757772,0.693612,0.757772
