lorentzForce,siteDistance,vAve,,
1.78,1.7,-0.1844269,,
1.78,1.8,-0.2716215,,
1.78,1.9,-0.345228,,
1.78,2,-0.3865812,,
1.8,-0.1,0.050041882,,
1.8,-0.2,0.049951651,,
1.8,-0.3,0.050058616,,
1.8,-0.4,0.050066898,,
1.8,-0.5,0.050070872,,
1.8,-0.6,0.049970001,,
1.8,-0.7,0.049958402,,
1.8,-0.8,0.049924694,,
1.8,-0.9,0.04997845,,
1.8,-1,0.050012872,,
1.8,-1.1,0.050025706,,
1.8,-1.2,0.05001082,,
1.8,-1.3,0.049987966,,
1.8,-1.4,0.049964966,,
1.8,-1.5,0.08069396,,
1.8,-1.6,0.296596,,
1.8,-1.7,0.398233,,
1.8,-1.8,0.4648,,
1.8,-1.9,0.504533,,
1.8,-2,0.536547,,
1.8,0,0.050038617,,
1.8,0.1,0.050042082,,
1.8,0.2,0.04995669,,
1.8,0.3,0.049983252,,
1.8,0.4,0.050021519,,
1.8,0.5,0.049981663,,
1.8,0.6,0.049961572,,
1.8,0.7,0.049969944,,
1.8,0.8,0.049999762,,
1.8,0.9,0.050066086,,
1.8,1,0.050075107,,
1.8,1.1,0.050015394,,
1.8,1.2,0.049992226,,
1.8,1.3,0.050095065,,
1.8,1.4,0.05001264,,
1.8,1.5,-0.1464459,,
1.8,1.6,-0.1965375,,
1.8,1.7,-0.2961176,,
1.8,1.8,-0.3668274,,
1.8,1.9,-0.4055617,,
1.8,2,-0.4369199,,
1.82,-0.1,0.050030609,,
1.82,-0.2,0.050039609,,
1.82,-0.3,0.05004613,,
1.82,-0.4,0.050053157,,
1.82,-0.5,0.050056206,,
1.82,-0.6,0.049954591,,
1.82,-0.7,0.050041822,,
1.82,-0.8,0.05000667,,
1.82,-0.9,0.050058192,,
1.82,-1,0.049991816,,
1.82,-1.1,0.050003103,,
1.82,-1.2,0.049986417,,
1.82,-1.3,0.050054463,,
1.82,-1.4,0.310374,,
1.82,-1.5,0.316084,,
1.82,-1.6,0.42466,,
1.82,-1.7,0.486277,,
1.82,-1.8,0.534551,,
1.82,-1.9,0.552593,,
1.82,-2,0.566005,,
1.82,0,0.050027978,,
1.82,0.1,0.050031815,,
1.82,0.2,0.049947068,,
1.82,0.3,0.0500735,,
1.82,0.4,0.050012727,,
1.82,0.5,0.050073221,,
1.82,0.6,0.04995319,,
1.82,0.7,0.049957253,,
1.82,0.8,0.049991809,,
1.82,0.9,0.050058548,,
1.82,1,0.049968027,,
1.82,1.1,0.050007942,,
1.82,1.2,0.049985632,,
1.82,1.3,0.049989943,,
1.82,1.4,-0.210372,,
1.82,1.5,-0.2136211,,
1.82,1.6,-0.3286537,,
1.82,1.7,-0.3871275,,
1.82,1.8,-0.4332972,,
1.82,1.9,-0.4524654,,
1.82,2,-0.743704,,
1.84,-0.1,0.050019165,,
1.84,-0.2,0.050028063,,
1.84,-0.3,0.049933361,,
1.84,-0.4,0.050039871,,
1.84,-0.5,0.050042139,,
1.84,-0.6,0.049939243,,
1.84,-0.7,0.050025551,,
1.84,-0.8,0.049989151,,
1.84,-0.9,0.050040271,,
1.84,-1,0.049971837,,
1.84,-1.1,0.04997573,,
1.84,-1.2,0.050031252,,
1.84,-1.3,0.321485,,
1.84,-1.4,0.358179,,
1.84,-1.5,0.45777,,
1.84,-1.6,0.512708,,
1.84,-1.7,0.55158,,
1.84,-1.8,0.569425,,
1.84,-1.9,0.849954,,
1.84,-2,0.849996,,
1.84,0,0.0500175,,
1.84,0.1,0.050022121,,
1.84,0.2,0.049937448,,
1.84,0.3,0.050064674,,
1.84,0.4,0.050003874,,
1.84,0.5,0.05006483,,
1.84,0.6,0.050040033,,
1.84,0.7,0.04994914,,
1.84,0.8,0.049984205,,
1.84,0.9,0.050051222,,
1.84,1,0.049960552,,
1.84,1.1,0.05000026,,
1.84,1.2,0.049987626,,
1.84,1.3,-0.221452,,
1.84,1.4,-0.258019,,
1.84,1.5,-0.3589227,,
1.84,1.6,-0.4136066,,
1.84,1.7,-0.4516673,,
1.84,1.8,-0.73691,,
1.84,1.9,-0.749949,,
1.84,2,-0.749994,,
1.86,-0.1,0.050008881,,
1.86,-0.2,0.050016648,,
1.86,-0.3,0.049921162,,
1.86,-0.4,0.050026919,,
1.86,-0.5,0.050028308,,
1.86,-0.6,0.050024513,,
1.86,-0.7,0.050009934,,
1.86,-0.8,0.049977369,,
1.86,-0.9,0.050021268,,
1.86,-1,0.050045719,,
1.86,-1.1,0.078468888,,
1.86,-1.2,0.334101,,
1.86,-1.3,0.415534,,
1.86,-1.4,0.493283,,
1.86,-1.5,0.547521,,
1.86,-1.6,0.573469,,
1.86,-1.7,0.587518,,
1.86,-1.8,0.849987,,
1.86,-1.9,0.849971,,
1.86,-2,0.280571,,
1.86,0,0.050007243,,
1.86,0.1,0.050012,,
1.86,0.2,0.050028049,,
1.86,0.3,0.050055814,,
1.86,0.4,0.049995217,,
1.86,0.5,0.050056272,,
1.86,0.6,0.050031778,,
1.86,0.7,0.049940244,,
1.86,0.8,0.049976041,,
1.86,0.9,0.049943096,,
1.86,1,0.049953363,,
1.86,1.1,0.0046892,,
1.86,1.2,-0.23442,,
1.86,1.3,-0.316937,,
1.86,1.4,-0.392283,,
1.86,1.5,-0.449617,,
1.86,1.6,-0.4722254,,
1.86,1.7,-0.750027,,
1.86,1.8,-0.749951,,
1.86,1.9,-0.750068,,
1.86,2,-0.330632,,
1.88,-0.1,0.049998208,,
1.88,-0.2,0.050001014,,
1.88,-0.3,0.049909284,,
1.88,-0.4,0.050014287,,
1.88,-0.5,0.050015333,,
1.88,-0.6,0.050010124,,
1.88,-0.7,0.049994486,,
1.88,-0.8,0.049959658,,
1.88,-0.9,0.049992814,,
1.88,-1,0.351164,,
1.88,-1.1,0.366034,,
1.88,-1.2,0.471536,,
1.88,-1.3,0.532776,,
1.88,-1.4,0.574977,,
1.88,-1.5,0.595499,,
1.88,-1.6,0.849969,,
1.88,-1.7,0.84994,,
1.88,-1.8,0.849737,,
1.88,-1.9,0.267736,,
1.88,-2,0.253104,,
1.88,0,0.049997149,,
1.88,0.1,0.050002386,,
1.88,0.2,0.050018909,,
1.88,0.3,0.050042671,,
1.88,0.4,0.049986744,,
1.88,0.5,0.050048056,,
1.88,0.6,0.050023324,,
1.88,0.7,0.049933021,,
1.88,0.8,0.049968504,,
1.88,0.9,0.050027071,,
1.88,1,-0.251277,,
1.88,1.1,-0.2675,,
1.88,1.2,-0.372229,,
1.88,1.3,-0.430474,,
1.88,1.4,-0.474381,,
1.88,1.5,-0.749356,,
1.88,1.6,-0.750061,,
1.88,1.7,-0.750068,,
1.88,1.8,-0.749723,,
1.88,1.9,-0.1676307,,
1.88,2,-0.1600763,,
1.9,-0.1,0.050087749,,
1.9,-0.2,0.049990306,,
1.9,-0.3,0.05009394,,
1.9,-0.4,0.049902334,,
1.9,-0.5,0.050002196,,
1.9,-0.6,0.049991634,,
1.9,-0.7,0.049972291,,
1.9,-0.8,0.370355,,
1.9,-0.9,0.366017,,
1.9,-1,0.452182,,
1.9,-1.1,0.522915,,
1.9,-1.2,0.576788,,
1.9,-1.3,0.602968,,
1.9,-1.4,0.850017,,
1.9,-1.5,0.849968,,
1.9,-1.6,0.849957,,
1.9,-1.7,0.286242,,
1.9,-1.8,0.279979,,
1.9,-1.9,0.2156927,,
1.9,-2,0.1754945,,
1.9,0,0.05008732,,
1.9,0.1,0.049993213,,
1.9,0.2,0.050009433,,
1.9,0.3,0.050033467,,
1.9,0.4,0.050077871,,
1.9,0.5,0.050039343,,
1.9,0.6,0.050016028,,
1.9,0.7,0.050024916,,
1.9,0.8,-0.270298,,
1.9,0.9,-0.26677,,
1.9,1,-0.353532,,
1.9,1.1,-0.423635,,
1.9,1.2,-0.477302,,
1.9,1.3,-0.746747,,
1.9,1.4,-0.750002,,
1.9,1.5,-0.749991,,
1.9,1.6,-0.750012,,
1.9,1.7,-0.1861898,,
1.9,1.8,-0.1812055,,
1.9,1.9,-0.1612803,,
1.9,2,-0.0871574,,
1.92,-0.1,0.050076976,,
1.92,-0.2,0.049979545,,
1.92,-0.3,0.049982798,,
1.92,-0.4,0.05008613,,
1.92,-0.5,0.050088618,,
1.92,-0.6,0.390222,,
1.92,-0.7,0.383778,,
1.92,-0.8,0.44537,,
1.92,-0.9,0.526009,,
1.92,-1,0.587144,,
1.92,-1.1,0.613555,,
1.92,-1.2,0.612484,,
1.92,-1.3,0.849974,,
1.92,-1.4,0.850013,,
1.92,-1.5,0.305565,,
1.92,-1.6,0.299425,,
1.92,-1.7,0.278207,,
1.92,-1.8,0.1954765,,
1.92,-1.9,0.1678568,,
1.92,-2,0.1449996,,
1.92,0,0.05007735,,
1.92,0.1,0.050084222,,
1.92,0.2,0.050000725,,
1.92,0.3,0.050025517,,
1.92,0.4,0.050065288,,
1.92,0.5,0.05003188,,
1.92,0.6,-0.290148,,
1.92,0.7,-0.284064,,
1.92,0.8,-0.348182,,
1.92,0.9,-0.427659,,
1.92,1,-0.485348,,
1.92,1.1,-0.513117,,
1.92,1.2,-0.750008,,
1.92,1.3,-0.749967,,
1.92,1.4,-0.750036,,
1.92,1.5,-0.2056121,,
1.92,1.6,-0.2000899,,
1.92,1.7,-0.1845631,,
1.92,1.8,-0.131089,,
1.92,1.9,-0.0854782,,
1.92,2,-0.0632366,,
1.94,-0.1,0.050063789,,
1.94,-0.2,0.049968612,,
1.94,-0.3,0.050071381,,
1.94,-0.4,0.410321,,
1.94,-0.5,0.404394,,
1.94,-0.6,0.463948,,
1.94,-0.7,0.540035,,
1.94,-0.8,0.599738,,
1.94,-0.9,0.627469,,
1.94,-1,0.850059,,
1.94,-1.1,0.850075,,
1.94,-1.2,0.84997,,
1.94,-1.3,0.325239,,
1.94,-1.4,0.319282,,
1.94,-1.5,0.30058,,
1.94,-1.6,0.2218474,,
1.94,-1.7,0.1731533,,
1.94,-1.8,0.1446636,,
1.94,-1.9,0.117077,,
1.94,-2,0.0899614,,
1.94,0,0.050064293,,
1.94,0.1,0.050070545,,
1.94,0.2,0.049992,,
1.94,0.3,0.050016406,,
1.94,0.4,-0.310344,,
1.94,0.5,-0.304087,,
1.94,0.6,-0.362883,,
1.94,0.7,-0.4433,,
1.94,0.8,-0.498336,,
1.94,0.9,-0.749874,,
1.94,1,-0.750048,,
1.94,1.1,-0.750022,,
1.94,1.2,-0.749958,,
1.94,1.3,-0.225305,,
1.94,1.4,-0.21966,,
1.94,1.5,-0.2051423,,
1.94,1.6,-0.1692829,,
1.94,1.7,-0.1105484,,
1.94,1.8,-0.068533,,
1.94,1.9,-0.044845304,,
1.94,2,-0.024653017,,
1.96,-0.1,0.050066596,,
1.96,-0.2,0.430945,,
1.96,-0.3,0.427437,,
1.96,-0.4,0.509232,,
1.96,-0.5,0.581676,,
1.96,-0.6,0.624183,,
1.96,-0.7,0.637552,,
1.96,-0.8,0.849971,,
1.96,-0.9,0.849995,,
1.96,-1,0.848603,,
1.96,-1.1,0.345922,,
1.96,-1.2,0.338742,,
1.96,-1.3,0.320274,,
1.96,-1.4,0.2400153,,
1.96,-1.5,0.1653735,,
1.96,-1.6,0.1321599,,
1.96,-1.7,0.0985379,,
1.96,-1.8,0.0842921,,
1.96,-1.9,0.0730485,,
1.96,-2,0.05974999,,
1.96,0,0.050054521,,
1.96,0.1,0.050084226,,
1.96,0.2,-0.330933,,
1.96,0.3,-0.328533,,
1.96,0.4,-0.407573,,
1.96,0.5,-0.474856,,
1.96,0.6,-0.524292,,
1.96,0.7,-0.750009,,
1.96,0.8,-0.74999,,
1.96,0.9,-0.749989,,
1.96,1,-0.74857,,
1.96,1.1,-0.245679,,
1.96,1.2,-0.239991,,
1.96,1.3,-0.223407,,
1.96,1.4,-0.1957745,,
1.96,1.5,-0.1287762,,
1.96,1.6,-0.057540962,,
1.96,1.7,-0.034775789,,
1.96,1.8,-0.015288959,,
1.96,1.9,0.005546621,,
1.96,2,0.018653836,,
1.98,-0.1,0.050033419,,
1.98,-0.2,0.559685,,
1.98,-0.3,0.627702,,
1.98,-0.4,0.652443,,
1.98,-0.5,0.647465,,
1.98,-0.6,0.849967,,
1.98,-0.7,0.849989,,
1.98,-0.8,0.374044,,
1.98,-0.9,0.366776,,
1.98,-1,0.353721,,
1.98,-1.1,0.321531,,
1.98,-1.2,0.2012007,,
1.98,-1.3,0.1412968,,
1.98,-1.4,0.1071574,,
1.98,-1.5,0.087919,,
1.98,-1.6,0.0742452,,
1.98,-1.7,0.0606084,,
1.98,-1.8,0.05252024,,
1.98,-1.9,0.049837756,,
1.98,-2,0.04915683,,
1.98,0,0.049953293,,
1.98,0.1,0.049963426,,
1.98,0.2,-0.464191,,
1.98,0.3,-0.525655,,
1.98,0.4,-0.552465,,
1.98,0.5,-0.749983,,
1.98,0.6,-0.750069,,
1.98,0.7,-0.749961,,
1.98,0.8,-0.274003,,
1.98,0.9,-0.266856,,
1.98,1,-0.259193,,
1.98,1.1,-0.239037,,
1.98,1.2,-0.196002,,
1.98,1.3,-0.0771583,,
1.98,1.4,-0.037709063,,
1.98,1.5,-0.016252137,,
1.98,1.6,0.004375497,,
1.98,1.7,0.017183968,,
1.98,1.8,0.027849673,,
1.98,1.9,0.036818365,,
1.98,2,0.04899954,,
2,-0.1,0.0614193,,
2,-0.2,0.191405755,,
2,-0.3,0.419278,,
2,-0.4,0.778482,,
2,-0.5,0.781942,,
2,-0.6,0.39571,,
2,-0.7,0.387227,,
2,-0.8,0.368172,,
2,-0.9,0.2374821,,
2,-1,0.1460192,,
2,-1.1,0.1023089,,
2,-1.2,0.0807697,,
2,-1.3,0.0698391,,
2,-1.4,0.05633326,,
2,-1.5,0.05066903,,
2,-1.6,0.050443629,,
2,-1.7,0.050079976,,
2,-1.8,0.0490648,,
2,-1.9,0.04794897,,
2,-2,0.04709682,,
2,0,0.049973971,,
2,0.1,0.0085785,,
2,0.2,-0.292573,,
2,0.3,-0.319277,,
2,0.4,-0.732453,,
2,0.5,-0.675418,,
2,0.6,-0.295735,,
2,0.7,-0.290179,,
2,0.8,-0.270615,,
2,0.9,-0.238947,,
2,1,-0.1248458,,
2,1.1,-0.037976659,,
2,1.2,-0.005728603,,
2,1.3,0.012810067,,
2,1.4,0.023471222,,
2,1.5,0.033262654,,
2,1.6,0.04302714,,
2,1.7,0.04763079,,
2,1.8,0.04871122,,
2,1.9,0.04930319,,
2,2,0.05025763,,
2.02,-0.1,0.049971756,,
2.02,-0.2,0.05007324,,
2.02,-0.3,0.06355178,,
