lorentzForce,siteDistance,vAve
1.96,0.70,-0.425083
1.96,0.80,-0.425006
1.96,0.90,-0.42505
1.96,1.00,-0.425022
1.96,1.10,-0.425051
1.96,1.20,-0.425064
1.96,1.30,-0.119977
1.96,1.40,-0.132555
1.96,1.50,-0.127559
1.96,1.60,-0.16692
1.96,1.70,-0.175544
1.96,1.80,-0.160646
1.96,1.90,-0.111427
1.96,2.00,-0.131013
1.98,-0.10,-0.207539
1.98,-0.20,-0.212587
1.98,-0.30,-0.217557
1.98,-0.40,-0.222584
1.98,-0.50,-0.223376
1.98,-0.60,-0.0250464
1.98,-0.70,-0.0250321
1.98,-0.80,-0.0250485
1.98,-0.90,0.152301
1.98,-1.00,0.374905
1.98,-1.10,-0.0250958
1.98,-1.20,-0.0250137
1.98,-1.30,-0.0250225
1.98,-1.40,-0.0250186
1.98,-1.50,-0.0255547
1.98,-1.60,0.117494
1.98,-1.70,0.11245
1.98,-1.80,0.107493
1.98,-1.90,0.102499
1.98,-2.00,0.0961226
1.98,0.00,-0.202612
1.98,0.10,-0.23749
1.98,0.20,-0.408368
1.98,0.30,-0.42504
1.98,0.40,-0.425004
1.98,0.50,-0.42506
1.98,0.60,-0.425044
1.98,0.70,-0.42505
1.98,0.80,-0.425097
1.98,0.90,-0.425024
1.98,1.00,-0.425074
1.98,1.10,-0.149135
1.98,1.20,-0.142537
1.98,1.30,-0.1368
1.98,1.40,-0.117829
1.98,1.50,-0.127585
1.98,1.60,-0.122974
1.98,1.70,-0.118662
1.98,1.80,-0.115034
1.98,1.90,-0.026521
1.98,2.00,-0.0258255
2.00,-0.10,-0.207527
2.00,-0.20,-0.0258449
2.00,-0.30,-0.0257107
2.00,-0.40,-0.025081
2.00,-0.50,-0.0251247
2.00,-0.60,-0.0250472
2.00,-0.70,0.0774101
2.00,-0.80,0.147263
2.00,-0.90,0.147984
2.00,-1.00,-0.0237352
2.00,-1.10,0.134866
2.00,-1.20,-0.0250707
2.00,-1.30,-0.025027
2.00,-1.40,-0.0253759
2.00,-1.50,-0.0264776
2.00,-1.60,-0.0263953
2.00,-1.70,0.112428
2.00,-1.80,-0.059793
2.00,-1.90,0.0193952
2.00,-2.00,0.0151606
2.00,0.00,-0.139069
2.00,0.10,-0.21596
2.00,0.20,-0.0250085
2.00,0.30,-0.190887
2.00,0.40,-0.425066
2.00,0.50,-0.425069
2.00,0.60,-0.425077
2.00,0.70,-0.425018
2.00,0.80,-0.425031
2.00,0.90,-0.425277
2.00,1.00,-0.0258637
2.00,1.10,-0.106776
2.00,1.20,-0.0743137
2.00,1.30,-0.0250983
2.00,1.40,-0.0283429
2.00,1.50,-0.0300441
2.00,1.60,-0.0482075
2.00,1.70,-0.0277812
2.00,1.80,-0.0249988
2.00,1.90,-0.0250277
2.00,2.00,-0.0259559
2.02,-0.10,-0.0250325
2.02,-0.20,-0.026253
2.02,-0.30,-0.0253884
2.02,-0.40,-0.0270838
2.02,-0.50,-0.0250168
2.02,-0.60,-0.0250205
2.02,-0.70,-0.0251948
2.02,-0.80,-0.0250077
2.02,-0.90,-0.0250533
2.02,-1.00,0.109172
2.02,-1.10,0.00750333
2.02,-1.20,0.129939
2.02,-1.30,-0.025013
2.02,-1.40,-0.0250766
2.02,-1.50,-0.0250786
2.02,-1.60,-0.0250173
2.02,-1.70,-0.0787007
2.02,-1.80,-0.082782
2.02,-1.90,0.0904408
2.02,-2.00,0.0282925
2.02,0.00,-0.0250119
2.02,0.10,0.00359951
2.02,0.20,-0.243986
2.02,0.30,-0.280359
2.02,0.40,-0.239883
2.02,0.50,-0.39301
2.02,0.60,-0.425216
2.02,0.70,-0.425886
2.02,0.80,-0.0304037
2.02,0.90,-0.0252165
2.02,1.00,-0.0305076
2.02,1.10,-0.028705
2.02,1.20,-0.0311601
2.02,1.30,-0.0360003
2.02,1.40,-0.03157
2.02,1.50,-0.0301119
2.02,1.60,-0.0296358
2.02,1.70,-0.027917
2.02,1.80,-0.0286817
2.02,1.90,-0.0309403
2.02,2.00,-0.0306093
2.04,-0.10,-0.197641
2.04,-0.20,-0.212565
2.04,-0.30,-0.025051
2.04,-0.40,-0.0280666
2.04,-0.50,-0.026548
2.04,-0.60,-0.0271735
2.04,-0.70,-0.0287627
2.04,-0.80,-0.0250765
2.04,-0.90,-0.0251213
2.04,-1.00,-0.0251145
2.04,-1.10,-0.0250308
2.04,-1.20,-0.0250397
2.04,-1.30,-0.118825
2.04,-1.40,-0.11081
2.04,-1.50,-0.037321
2.04,-1.60,-0.0250647
2.04,-1.70,0.0928475
2.04,-1.80,0.0885392
2.04,-1.90,0.0896081
2.04,-2.00,0.0787639
2.04,0.00,-0.0291158
2.04,0.10,-0.027866
2.04,0.20,-0.0494848
2.04,0.30,-0.187597
2.04,0.40,-0.259989
2.04,0.50,-0.130776
2.04,0.60,-0.172591
2.04,0.70,-0.0302567
2.04,0.80,-0.0301884
2.04,0.90,-0.0330928
2.04,1.00,-0.0257363
2.04,1.10,-0.0269914
2.04,1.20,-0.0775589
2.04,1.30,-0.0691617
2.04,1.40,-0.0427458
2.04,1.50,-0.026119
